ring_id,vertex_id,x,y
0,0,1455440.64982335,-1372323.75879636
0,1,1453081.28909818,-1373329.91371818
0,2,1451397.16549631,-1374489.5988432
0,3,1450308.38656778,-1376933.09883855
0,4,1449270.47928818,-1379398.63737231
0,5,1450198.50760579,-1381279.66682937
0,6,1452117.18565884,-1382127.12355709
0,7,1454140.55596443,-1383091.60334133
0,8,1454420.81728907,-1385315.49682746
0,9,1453216.24317608,-1387173.91568163
0,10,1451387.67359097,-1385924.4947343
0,11,1451275.40528679,-1384085.54831557
0,12,1450382.49299069,-1382744.39207019
0,13,1450962.37665886,-1384869.35001181
0,14,1451289.05047477,-1387047.65107921
0,15,1450035.19768752,-1388439.14857566
0,16,1449590.5372,-1390258.6785
0,17,1447598.99332139,-1390310.78935771
0,18,1446341.98990465,-1391856.39764321
0,19,1446110.90115455,-1393416.33996644
0,20,1445393.21915121,-1394203.76729634
0,21,1444351.10070514,-1393982.1857038
0,22,1444372.08596853,-1394845.23428492
0,23,1443323.11727286,-1396705.70184461
0,24,1442524.14555413,-1398540.85654474
0,25,1441149.38095144,-1399995.56299896
0,26,1439579.69152606,-1399690.79973877
0,27,1438340.46495149,-1401272.34423311
0,28,1436364.13009465,-1400910.31381411
0,29,1434985.23660612,-1401830.93897201
0,30,1433478.1906,-1402102.6224
0,31,1433292.45866492,-1402676.12623786
0,32,1434062.77902279,-1402177.82204082
0,33,1434928.08521823,-1402482.69203715
0,34,1434166.13228892,-1402955.41455765
0,35,1433521.0748,-1403578.2626
0,36,1432796.4096,-1401277.745
0,37,1432019.66827705,-1401608.61744085
0,38,1433123.90977537,-1403106.17913365
0,39,1431278.29291437,-1403342.26960938
0,40,1432608.99057696,-1404851.63528489
0,41,1433527.48122145,-1406407.22079444
0,42,1433395.79371022,-1404942.23496248
0,43,1435581.3298,-1402789.4217
0,44,1436814.93874952,-1402540.59188222
0,45,1438325.07021544,-1403228.83651769
0,46,1437082.63094306,-1404329.0739362
0,47,1436549.1486,-1405660.4499
0,48,1437569.30261953,-1405801.01518253
0,49,1438260.77006084,-1405037.89946403
0,50,1438372.23162048,-1403362.29088951
0,51,1440051.38529705,-1403339.25386028
0,52,1440870.12498515,-1405074.70395343
0,53,1442859.7662881,-1407668.74205053
0,54,1444467.56355882,-1410515.26521043
0,55,1445935.89246843,-1412151.95893878
0,56,1446660.95327554,-1415170.94028288
0,57,1447919.36139893,-1418009.31491021
0,58,1447791.1451463,-1419327.54961825
0,59,1449851.69428432,-1421147.98854786
0,60,1451820.44180654,-1423067.33579117
0,61,1451161.78030476,-1423709.88807981
0,62,1451275.8309,-1424622.9603
0,63,1451952.99556474,-1423327.60370078
0,64,1454049.17689212,-1423313.93786762
0,65,1456470.66457348,-1424479.483778
0,66,1457950.0265181,-1426962.54338731
0,67,1460438.16443525,-1428433.34809623
0,68,1461191.27893368,-1427208.27311766
0,69,1461569.13870992,-1425820.75297713
0,70,1462794.83590958,-1425349.23432909
0,71,1463474.20089962,-1426473.12341215
0,72,1464303.07413733,-1427361.6507686
0,73,1465155.72939501,-1426195.1282286
0,74,1465483.8159,-1424787.9484
0,75,1467046.8405124,-1424182.73024272
0,76,1467792.97969274,-1422681.86006831
0,77,1467718.27868686,-1421071.87190516
0,78,1468690.419,-1419786.3427
0,79,1469833.77179403,-1420096.27592688
0,80,1470419.73476579,-1421125.82029818
0,81,1472416.14217274,-1419184.79841293
0,82,1471409.26885055,-1416588.76016079
0,83,1473136.63974312,-1414149.07394849
0,84,1475172.86724348,-1412399.66031183
0,85,1475760.48132523,-1410296.96161672
0,86,1476998.84537654,-1407521.58240881
0,87,1477840.30347257,-1404601.27017483
0,88,1477100.44381867,-1401671.84367771
0,89,1476352.50046565,-1395839.12325189
0,90,1473432.35353977,-1390734.92999964
0,91,1469974.31220438,-1384771.61054587
0,92,1468177.04308223,-1383374.17374116
0,93,1467001.80731689,-1381424.34635997
0,94,1465831.71991765,-1379650.29315157
0,95,1464685.96797278,-1379356.26819644
0,96,1462819.95016621,-1376349.6978676
0,97,1459953.32776986,-1374275.09823552
0,98,1457640.62290582,-1373642.48894109
Total signed area in input: 1.305116e+09
Total signed area in output: 1.305116e+09
Total areal displacement: 3.857698e+07
